subj,roi,param,cope
pc07,yeo17_ifs,cue,35.3887443542
pc07,yeo17_ifs,cpe_cue,-0.551673054695
pc07,yeo17_ips,cue,63.281539917
pc07,yeo17_ips,cpe_cue,14.5936765671
pc07,yeo17_mspl,cue,5.53667545319
pc07,yeo17_mspl,cpe_cue,2.93221640587
pc07,yeo17_pcc,cue,11.0063972473
pc07,yeo17_pcc,cpe_cue,0.0139155006036
pc08,yeo17_ifs,cue,61.0711135864
pc08,yeo17_ifs,cpe_cue,10.7491903305
pc08,yeo17_ips,cue,134.359680176
pc08,yeo17_ips,cpe_cue,25.4646720886
pc08,yeo17_mspl,cue,25.6100311279
pc08,yeo17_mspl,cpe_cue,14.1636590958
pc08,yeo17_pcc,cue,15.4103899002
pc08,yeo17_pcc,cpe_cue,4.69944047928
pc10,yeo17_ifs,cue,-5.19153404236
pc10,yeo17_ifs,cpe_cue,14.4904975891
pc10,yeo17_ips,cue,-0.29017958045
pc10,yeo17_ips,cpe_cue,22.2542324066
pc10,yeo17_mspl,cue,-11.1430969238
pc10,yeo17_mspl,cpe_cue,17.4945964813
pc10,yeo17_pcc,cue,5.90242528915
pc10,yeo17_pcc,cpe_cue,9.4406452179
pc11,yeo17_ifs,cue,6.56144380569
pc11,yeo17_ifs,cpe_cue,10.0821208954
pc11,yeo17_ips,cue,8.34038829803
pc11,yeo17_ips,cpe_cue,11.7464065552
pc11,yeo17_mspl,cue,3.6550590992
pc11,yeo17_mspl,cpe_cue,-1.08955454826
pc11,yeo17_pcc,cue,6.07764387131
pc11,yeo17_pcc,cpe_cue,-7.7336063385
pc12,yeo17_ifs,cue,45.1178207397
pc12,yeo17_ifs,cpe_cue,10.2468385696
pc12,yeo17_ips,cue,58.2056045532
pc12,yeo17_ips,cpe_cue,9.07097625732
pc12,yeo17_mspl,cue,45.6044883728
pc12,yeo17_mspl,cpe_cue,-0.969083845615
pc12,yeo17_pcc,cue,48.1669425964
pc12,yeo17_pcc,cpe_cue,3.85059285164
pc13,yeo17_ifs,cue,88.297492981
pc13,yeo17_ifs,cpe_cue,-10.8890981674
pc13,yeo17_ips,cue,106.291664124
pc13,yeo17_ips,cpe_cue,-9.60925483704
pc13,yeo17_mspl,cue,-36.2375144958
pc13,yeo17_mspl,cpe_cue,-24.2809486389
pc13,yeo17_pcc,cue,12.6257171631
pc13,yeo17_pcc,cpe_cue,-12.7373886108
pc14,yeo17_ifs,cue,41.647567749
pc14,yeo17_ifs,cpe_cue,-14.2564191818
pc14,yeo17_ips,cue,38.4729728699
