index,coef,timepoint,condition,subj,roi
cpe_cue_00,-0.00145326438384,-1,cpe_cue,pc07,yeo17_ifs
cpe_cue_01,-0.00150205012537,0,cpe_cue,pc07,yeo17_ifs
cpe_cue_02,0.00410820596297,1,cpe_cue,pc07,yeo17_ifs
cpe_cue_03,0.00596091121728,2,cpe_cue,pc07,yeo17_ifs
cpe_cue_04,-0.000576450445384,3,cpe_cue,pc07,yeo17_ifs
cpe_cue_05,-0.00516375567214,4,cpe_cue,pc07,yeo17_ifs
cpe_cue_06,-0.00140068633915,5,cpe_cue,pc07,yeo17_ifs
cpe_cue_07,0.00494582345353,6,cpe_cue,pc07,yeo17_ifs
cpe_cue_08,0.00705651361271,7,cpe_cue,pc07,yeo17_ifs
cpe_cue_09,0.00177442591008,8,cpe_cue,pc07,yeo17_ifs
cpe_cue_10,-0.00258825371892,9,cpe_cue,pc07,yeo17_ifs
cpe_cue_11,0.00718255600534,10,cpe_cue,pc07,yeo17_ifs
cpe_cue_12,0.0222105245164,11,cpe_cue,pc07,yeo17_ifs
cpe_cue_13,0.0226391071513,12,cpe_cue,pc07,yeo17_ifs
cpe_cue_14,0.00874926140654,13,cpe_cue,pc07,yeo17_ifs
cpe_cue_15,-0.000494705312644,14,cpe_cue,pc07,yeo17_ifs
cpe_cue_16,0.00483314190867,15,cpe_cue,pc07,yeo17_ifs
cpe_cue_17,0.0113976179819,16,cpe_cue,pc07,yeo17_ifs
cpe_cue_18,0.0114584857828,17,cpe_cue,pc07,yeo17_ifs
cpe_cue_19,0.00270229698454,18,cpe_cue,pc07,yeo17_ifs
cpe_cue_20,-0.00714390298935,19,cpe_cue,pc07,yeo17_ifs
cpe_cue_21,-0.00625084892506,20,cpe_cue,pc07,yeo17_ifs
cpe_cue_22,0.00138493396098,21,cpe_cue,pc07,yeo17_ifs
cpe_cue_23,-0.00213776405814,22,cpe_cue,pc07,yeo17_ifs
cue_00,0.00970771742552,-1,cue,pc07,yeo17_ifs
cue_01,0.0190179816582,0,cue,pc07,yeo17_ifs
cue_02,0.0404217592529,1,cue,pc07,yeo17_ifs
cue_03,0.0697085807958,2,cue,pc07,yeo17_ifs
cue_04,0.0822123404828,3,cue,pc07,yeo17_ifs
cue_05,0.0712430885193,4,cue,pc07,yeo17_ifs
cue_06,0.0479655957936,5,cue,pc07,yeo17_ifs
cue_07,0.0275900270744,6,cue,pc07,yeo17_ifs
cue_08,0.0118507690028,7,cue,pc07,yeo17_ifs
cue_09,0.00222664876134,8,cue,pc07,yeo17_ifs
cue_10,-0.0040969258009,9,cue,pc07,yeo17_ifs
cue_11,-0.00333666639383,10,cue,pc07,yeo17_ifs
cue_12,-0.00338964943761,11,cue,pc07,yeo17_ifs
cue_13,-0.00882370087796,12,cue,pc07,yeo17_ifs
cue_14,-0.0213532396233,13,cue,pc07,yeo17_ifs
cue_15,-0.0304146451421,14,cue,pc07,yeo17_ifs
cue_16,-0.0281723763641,15,cue,pc07,yeo17_ifs
cue_17,-0.0198493225693,16,cue,pc07,yeo17_ifs
cue_18,-0.00902210887595,17,cue,pc07,yeo17_ifs
cue_19,-0.0041976114144,18,cue,pc07,yeo17_ifs
cue_20,-0.00849320917945,19,cue,pc07,yeo17_ifs
cue_21,-0.0133207554663,20,cue,pc07,yeo17_ifs
cue_22,-0.0107736084255,21,cue,pc07,yeo17_ifs
cue_23,-0.000997125271931,22,cue,pc07,yeo17_ifs
cpe_stim_00,0.00313697025597,-1,cpe_stim,pc07,yeo17_ifs
cpe_stim_01,0.0048158254774,0,cpe_stim,pc07,yeo17_ifs
cpe_stim_02,0.00378194073254,1,cpe_stim,pc07,yeo17_ifs
cpe_stim_03,0.00684278171365,2,cpe_stim,pc07,yeo17_ifs
cpe_stim_04,0.0102976507152,3,cpe_stim,pc07,yeo17_ifs
cpe_stim_05,0.00749405219944,4,cpe_stim,pc07,yeo17_ifs
cpe_stim_06,0.00393191428396,5,cpe_stim,pc07,yeo17_ifs
cpe_stim_07,0.00423593958498,6,cpe_stim,pc07,yeo17_ifs
cpe_stim_08,0.004104019016,7,cpe_stim,pc07,yeo17_ifs
cpe_stim_09,-0.00152186436255,8,cpe_stim,pc07,yeo17_ifs
cpe_stim_10,-0.00870128960475,9,cpe_stim,pc07,yeo17_ifs
cpe_stim_11,-0.0128373442397,10,cpe_stim,pc07,yeo17_ifs
cpe_stim_12,-0.0149944496205,11,cpe_stim,pc07,yeo17_ifs
cpe_stim_13,-0.0121897268932,12,cpe_stim,pc07,yeo17_ifs
cpe_stim_14,-0.0116302399341,13,cpe_stim,pc07,yeo17_ifs
cpe_stim_15,-0.0115231915763,14,cpe_stim,pc07,yeo17_ifs
cpe_stim_16,-0.0113987176321,15,cpe_stim,pc07,yeo17_ifs
cpe_stim_17,-0.00157989290855,16,cpe_stim,pc07,yeo17_ifs
cpe_stim_18,0.0050874524414,17,cpe_stim,pc07,yeo17_ifs
cpe_stim_19,0.00211425098932,18,cpe_stim,pc07,yeo17_ifs
cpe_stim_20,-0.00554695126729,19,cpe_stim,pc07,yeo17_ifs
cpe_stim_21,0.00152250993645,20,cpe_stim,pc07,yeo17_ifs
cpe_stim_22,0.00414158946199,21,cpe_stim,pc07,yeo17_ifs
cpe_stim_23,-0.0066146817745,22,cpe_stim,pc07,yeo17_ifs
response_time_00,-0.0107600890258,-1,response_time,pc07,yeo17_ifs
response_time_01,0.00437427156011,0,response_time,pc07,yeo17_ifs
response_time_02,0.0148805017199,1,response_time,pc07,yeo17_ifs
response_time_03,0.0184279364368,2,response_time,pc07,yeo17_ifs
response_time_04,0.020653867156,3,response_time,pc07,yeo17_ifs
response_time_05,0.0235396806857,4,response_time,pc07,yeo17_ifs
