index,coef,timepoint,condition,subj,roi
cue_cpe_3_00,0.0093701447967,-1,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_01,0.0194923328619,0,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_02,0.0355567693735,1,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_03,0.0609402163412,2,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_04,0.0863517295326,3,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_05,0.0920840133867,4,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_06,0.0728840736952,5,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_07,0.0380627505248,6,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_08,0.014432102612,7,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_09,0.00728459118398,8,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_10,0.00448776283246,9,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_11,0.00522955122497,10,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_12,0.00729944337388,11,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_13,0.00320089572003,12,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_14,-0.0159397552535,13,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_15,-0.0264083332509,14,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_16,-0.0166754258368,15,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_17,0.00629394176131,16,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_18,0.0185085145601,17,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_19,0.0134096272139,18,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_20,-0.00190995682875,19,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_21,-0.00679796084747,20,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_22,0.0039244178838,21,cue_cpe_3,pc07,yeo17_ifs
cue_cpe_3_23,0.0186716344388,22,cue_cpe_3,pc07,yeo17_ifs
stim_cpe_3_00,0.0113439678289,-1,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_01,0.00449304086464,0,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_02,0.0497790451882,1,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_03,0.121487917288,2,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_04,0.160750680954,3,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_05,0.149300102685,4,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_06,0.11981901473,5,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_07,0.095355692818,6,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_08,0.0556181852246,7,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_09,-1.73068464263e-07,8,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_10,-0.0321210007616,9,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_11,-0.0204157765245,10,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_12,0.00763038598531,11,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_13,0.0182714139746,12,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_14,0.0123328514818,13,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_15,0.00920680164272,14,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_16,0.0133724687307,15,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_17,0.011536916502,16,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_18,-0.00737567067919,17,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_19,-0.0162522055642,18,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_20,-0.0137501881852,19,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_21,-0.0105267247327,20,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_22,-0.00925457602431,21,stim_cpe_3,pc07,yeo17_ifs
stim_cpe_3_23,-0.012341960691,22,stim_cpe_3,pc07,yeo17_ifs
cue_cpe_4_00,-0.000159450591992,-1,cue_cpe_4,pc07,yeo17_ifs
cue_cpe_4_01,0.00681882589744,0,cue_cpe_4,pc07,yeo17_ifs
cue_cpe_4_02,0.0305472696272,1,cue_cpe_4,pc07,yeo17_ifs
cue_cpe_4_03,0.0643067920667,2,cue_cpe_4,pc07,yeo17_ifs
cue_cpe_4_04,0.0721626887581,3,cue_cpe_4,pc07,yeo17_ifs
cue_cpe_4_05,0.048480720651,4,cue_cpe_4,pc07,yeo17_ifs
cue_cpe_4_06,0.0249966030364,5,cue_cpe_4,pc07,yeo17_ifs
cue_cpe_4_07,0.0143053541291,6,cue_cpe_4,pc07,yeo17_ifs
cue_cpe_4_08,0.00660008012972,7,cue_cpe_4,pc07,yeo17_ifs
cue_cpe_4_09,-0.0106745944695,8,cue_cpe_4,pc07,yeo17_ifs
cue_cpe_4_10,-0.0220741191965,9,cue_cpe_4,pc07,yeo17_ifs
cue_cpe_4_11,-0.00141946321882,10,cue_cpe_4,pc07,yeo17_ifs
