subj,roi,param,cope
pc07,yeo17_ifs,task,58.7444000244
pc07,yeo17_ifs,cpe,4.96582365036
pc07,yeo17_ips,task,96.0977172852
pc07,yeo17_ips,cpe,11.7655115128
pc07,yeo17_mspl,task,11.954993248
pc07,yeo17_mspl,cpe,5.28167152405
pc07,yeo17_pcc,task,16.8500614166
pc07,yeo17_pcc,cpe,4.03496408463
pc08,yeo17_ifs,task,117.452415466
pc08,yeo17_ifs,cpe,-1.25134408474
pc08,yeo17_ips,task,212.375671387
pc08,yeo17_ips,cpe,0.48941463232
pc08,yeo17_mspl,task,41.6611785889
pc08,yeo17_mspl,cpe,-0.437558591366
pc08,yeo17_pcc,task,37.9231529236
pc08,yeo17_pcc,cpe,0.981348693371
pc10,yeo17_ifs,task,3.9468729496
pc10,yeo17_ifs,cpe,2.01324510574
pc10,yeo17_ips,task,6.22451066971
pc10,yeo17_ips,cpe,-1.47811377048
pc10,yeo17_mspl,task,1.70286083221
pc10,yeo17_mspl,cpe,3.26660394669
pc10,yeo17_pcc,task,17.1488628387
pc10,yeo17_pcc,cpe,-0.427961021662
pc11,yeo17_ifs,task,59.0839691162
pc11,yeo17_ifs,cpe,9.77491760254
pc11,yeo17_ips,task,70.8574371338
pc11,yeo17_ips,cpe,13.2375106812
pc11,yeo17_mspl,task,14.6657772064
pc11,yeo17_mspl,cpe,8.54022407532
pc11,yeo17_pcc,task,3.00337743759
pc11,yeo17_pcc,cpe,1.45815241337
pc12,yeo17_ifs,task,74.9031524658
pc12,yeo17_ifs,cpe,8.2996711731
pc12,yeo17_ips,task,99.4518432617
pc12,yeo17_ips,cpe,6.09730052948
pc12,yeo17_mspl,task,71.225112915
pc12,yeo17_mspl,cpe,6.96800804138
pc12,yeo17_pcc,task,61.1998519897
pc12,yeo17_pcc,cpe,6.97242832184
pc13,yeo17_ifs,task,169.133209229
pc13,yeo17_ifs,cpe,2.14951825142
pc13,yeo17_ips,task,174.120056152
pc13,yeo17_ips,cpe,6.42247056961
pc13,yeo17_mspl,task,-39.3142776489
pc13,yeo17_mspl,cpe,-1.51367461681
pc13,yeo17_pcc,task,11.7469615936
pc13,yeo17_pcc,cpe,0.630798459053
pc14,yeo17_ifs,task,90.2344512939
pc14,yeo17_ifs,cpe,4.32844924927
pc14,yeo17_ips,task,123.014137268
pc14,yeo17_ips,cpe,9.92630672455
pc14,yeo17_mspl,task,33.7013626099
pc14,yeo17_mspl,cpe,8.6386680603
pc14,yeo17_pcc,task,109.545799255
pc14,yeo17_pcc,cpe,7.91218471527
pc15,yeo17_ifs,task,126.094398499
pc15,yeo17_ifs,cpe,6.23640441895
pc15,yeo17_ips,task,125.975128174
pc15,yeo17_ips,cpe,8.42319583893
pc15,yeo17_mspl,task,103.602394104
pc15,yeo17_mspl,cpe,9.47067070007
pc15,yeo17_pcc,task,83.2978057861
pc15,yeo17_pcc,cpe,3.74961352348
pc16,yeo17_ifs,task,71.8234558105
pc16,yeo17_ifs,cpe,13.638510704
pc16,yeo17_ips,task,84.1588973999
pc16,yeo17_ips,cpe,13.2843112946
pc16,yeo17_mspl,task,29.9180393219
pc16,yeo17_mspl,cpe,15.6413860321
pc16,yeo17_pcc,task,59.6378097534
pc16,yeo17_pcc,cpe,7.96116638184
pc17,yeo17_ifs,task,61.0444831848
pc17,yeo17_ifs,cpe,13.3046398163
pc17,yeo17_ips,task,131.821746826
pc17,yeo17_ips,cpe,14.6307048798
pc17,yeo17_mspl,task,55.8518638611
pc17,yeo17_mspl,cpe,9.42761611938
pc17,yeo17_pcc,task,57.0728492737
pc17,yeo17_pcc,cpe,6.98014259338
pc18,yeo17_ifs,task,71.5479736328
pc18,yeo17_ifs,cpe,8.18846225739
pc18,yeo17_ips,task,147.974899292
pc18,yeo17_ips,cpe,16.6759872437
pc18,yeo17_mspl,task,76.4891662598
pc18,yeo17_mspl,cpe,16.5835227966
pc18,yeo17_pcc,task,57.8731460571
pc18,yeo17_pcc,cpe,14.3382120132
pc19,yeo17_ifs,task,33.9073562622
pc19,yeo17_ifs,cpe,6.80741786957
pc19,yeo17_ips,task,91.4825134277
pc19,yeo17_ips,cpe,8.4246969223
pc19,yeo17_mspl,task,18.4302616119
pc19,yeo17_mspl,cpe,6.61450481415
pc19,yeo17_pcc,task,36.9883537292
pc19,yeo17_pcc,cpe,10.1526050568
pc22,yeo17_ifs,task,91.6035079956
pc22,yeo17_ifs,cpe,10.8566551208
pc22,yeo17_ips,task,116.293678284
pc22,yeo17_ips,cpe,17.6787910461
pc22,yeo17_mspl,task,34.5332107544
pc22,yeo17_mspl,cpe,19.7156639099
pc22,yeo17_pcc,task,16.876209259
pc22,yeo17_pcc,cpe,15.192943573
pc23,yeo17_ifs,task,26.7110366821
pc23,yeo17_ifs,cpe,8.10336112976
pc23,yeo17_ips,task,82.0457458496
pc23,yeo17_ips,cpe,12.5677852631
pc23,yeo17_mspl,task,40.9384269714
pc23,yeo17_mspl,cpe,11.2075128555
pc23,yeo17_pcc,task,48.4173049927
pc23,yeo17_pcc,cpe,8.76599311829
pc24,yeo17_ifs,task,85.4309234619
pc24,yeo17_ifs,cpe,3.50659441948
pc24,yeo17_ips,task,143.503860474
pc24,yeo17_ips,cpe,-0.173540055752
pc24,yeo17_mspl,task,107.92098999
pc24,yeo17_mspl,cpe,5.3249835968
pc24,yeo17_pcc,task,70.353012085
pc24,yeo17_pcc,cpe,11.0733652115
