index,coef,timepoint,condition,subj,roi
cpe_3_00,-0.00565669485307,-1,cpe_3,pc07,yeo17_ifs
cpe_3_01,-0.00689610907182,0,cpe_3,pc07,yeo17_ifs
cpe_3_02,0.0139045058037,1,cpe_3,pc07,yeo17_ifs
cpe_3_03,0.0681352045937,2,cpe_3,pc07,yeo17_ifs
cpe_3_04,0.129871073873,3,cpe_3,pc07,yeo17_ifs
cpe_3_05,0.158616056036,4,cpe_3,pc07,yeo17_ifs
cpe_3_06,0.150458115107,5,cpe_3,pc07,yeo17_ifs
cpe_3_07,0.121052754345,6,cpe_3,pc07,yeo17_ifs
cpe_3_08,0.0792619619749,7,cpe_3,pc07,yeo17_ifs
cpe_3_09,0.0287319196071,8,cpe_3,pc07,yeo17_ifs
cpe_3_10,-0.0137348860138,9,cpe_3,pc07,yeo17_ifs
cpe_3_11,-0.0337642789655,10,cpe_3,pc07,yeo17_ifs
cpe_3_12,-0.0308274551662,11,cpe_3,pc07,yeo17_ifs
cpe_3_13,-0.0203531843343,12,cpe_3,pc07,yeo17_ifs
cpe_3_14,-0.0195961101719,13,cpe_3,pc07,yeo17_ifs
cpe_3_15,-0.022478494309,14,cpe_3,pc07,yeo17_ifs
cpe_3_16,-0.0175344031496,15,cpe_3,pc07,yeo17_ifs
cpe_3_17,-0.00757264709312,16,cpe_3,pc07,yeo17_ifs
cpe_3_18,-0.00464686753977,17,cpe_3,pc07,yeo17_ifs
cpe_3_19,-0.0123893560649,18,cpe_3,pc07,yeo17_ifs
cpe_3_20,-0.0236154696979,19,cpe_3,pc07,yeo17_ifs
cpe_3_21,-0.0225998202334,20,cpe_3,pc07,yeo17_ifs
cpe_3_22,-0.00692540791897,21,cpe_3,pc07,yeo17_ifs
cpe_3_23,0.0090279939285,22,cpe_3,pc07,yeo17_ifs
cpe_4_00,0.00547866604607,-1,cpe_4,pc07,yeo17_ifs
cpe_4_01,0.0121080096056,0,cpe_4,pc07,yeo17_ifs
cpe_4_02,0.0355146124176,1,cpe_4,pc07,yeo17_ifs
cpe_4_03,0.0825591569842,2,cpe_4,pc07,yeo17_ifs
cpe_4_04,0.130263989848,3,cpe_4,pc07,yeo17_ifs
cpe_4_05,0.151952490099,4,cpe_4,pc07,yeo17_ifs
cpe_4_06,0.146840094999,5,cpe_4,pc07,yeo17_ifs
cpe_4_07,0.125651024974,6,cpe_4,pc07,yeo17_ifs
cpe_4_08,0.089740523349,7,cpe_4,pc07,yeo17_ifs
cpe_4_09,0.0428665938906,8,cpe_4,pc07,yeo17_ifs
cpe_4_10,0.00870496982243,9,cpe_4,pc07,yeo17_ifs
cpe_4_11,0.00370840286009,10,cpe_4,pc07,yeo17_ifs
cpe_4_12,0.00845134283215,11,cpe_4,pc07,yeo17_ifs
cpe_4_13,-0.00570635899133,12,cpe_4,pc07,yeo17_ifs
cpe_4_14,-0.0390688966232,13,cpe_4,pc07,yeo17_ifs
cpe_4_15,-0.0636234464008,14,cpe_4,pc07,yeo17_ifs
cpe_4_16,-0.0650408269447,15,cpe_4,pc07,yeo17_ifs
cpe_4_17,-0.0508886794841,16,cpe_4,pc07,yeo17_ifs
cpe_4_18,-0.0281328215164,17,cpe_4,pc07,yeo17_ifs
cpe_4_19,-0.0197552448423,18,cpe_4,pc07,yeo17_ifs
cpe_4_20,-0.0311140172512,19,cpe_4,pc07,yeo17_ifs
cpe_4_21,-0.0368841716452,20,cpe_4,pc07,yeo17_ifs
cpe_4_22,-0.0278814126211,21,cpe_4,pc07,yeo17_ifs
cpe_4_23,-0.0225065482793,22,cpe_4,pc07,yeo17_ifs
error_00,-0.0225881860507,-1,error,pc07,yeo17_ifs
error_01,-0.0325435734145,0,error,pc07,yeo17_ifs
error_02,0.00416455532295,1,error,pc07,yeo17_ifs
error_03,0.0895825098426,2,error,pc07,yeo17_ifs
error_04,0.176571274335,3,error,pc07,yeo17_ifs
error_05,0.217308815303,4,error,pc07,yeo17_ifs
error_06,0.203889894803,5,error,pc07,yeo17_ifs
error_07,0.167845421289,6,error,pc07,yeo17_ifs
error_08,0.128169985981,7,error,pc07,yeo17_ifs
error_09,0.0855132339024,8,error,pc07,yeo17_ifs
error_10,0.0425415606463,9,error,pc07,yeo17_ifs
error_11,0.00678146512563,10,error,pc07,yeo17_ifs
error_12,-0.0153365622407,11,error,pc07,yeo17_ifs
error_13,-0.0199009682832,12,error,pc07,yeo17_ifs
error_14,-0.0281933836085,13,error,pc07,yeo17_ifs
error_15,-0.0504108381949,14,error,pc07,yeo17_ifs
error_16,-0.0646109626554,15,error,pc07,yeo17_ifs
error_17,-0.045717407996,16,error,pc07,yeo17_ifs
error_18,-0.0220994316783,17,error,pc07,yeo17_ifs
error_19,-0.0233022155253,18,error,pc07,yeo17_ifs
error_20,-0.0451105328195,19,error,pc07,yeo17_ifs
error_21,-0.0522324948012,20,error,pc07,yeo17_ifs
error_22,-0.046200422103,21,error,pc07,yeo17_ifs
error_23,-0.0369213227689,22,error,pc07,yeo17_ifs
cpe_2_00,-0.00378722248522,-1,cpe_2,pc07,yeo17_ifs
cpe_2_01,0.0055840808011,0,cpe_2,pc07,yeo17_ifs
cpe_2_02,0.0234176682997,1,cpe_2,pc07,yeo17_ifs
cpe_2_03,0.0594846581717,2,cpe_2,pc07,yeo17_ifs
cpe_2_04,0.10820797426,3,cpe_2,pc07,yeo17_ifs
cpe_2_05,0.149850124778,4,cpe_2,pc07,yeo17_ifs
cpe_2_06,0.153306805843,5,cpe_2,pc07,yeo17_ifs
cpe_2_07,0.112612205301,6,cpe_2,pc07,yeo17_ifs
cpe_2_08,0.0586853571454,7,cpe_2,pc07,yeo17_ifs
cpe_2_09,0.020365846431,8,cpe_2,pc07,yeo17_ifs
cpe_2_10,0.00380228362305,9,cpe_2,pc07,yeo17_ifs
cpe_2_11,-0.000444559859239,10,cpe_2,pc07,yeo17_ifs
cpe_2_12,-0.0124608868469,11,cpe_2,pc07,yeo17_ifs
cpe_2_13,-0.0341246869705,12,cpe_2,pc07,yeo17_ifs
cpe_2_14,-0.0507767287536,13,cpe_2,pc07,yeo17_ifs
cpe_2_15,-0.0539767133774,14,cpe_2,pc07,yeo17_ifs
cpe_2_16,-0.0361325130693,15,cpe_2,pc07,yeo17_ifs
cpe_2_17,-0.025265270264,16,cpe_2,pc07,yeo17_ifs
cpe_2_18,-0.0284704925995,17,cpe_2,pc07,yeo17_ifs
cpe_2_19,-0.0382116206862,18,cpe_2,pc07,yeo17_ifs
cpe_2_20,-0.0383793321678,19,cpe_2,pc07,yeo17_ifs
cpe_2_21,-0.0277883652035,20,cpe_2,pc07,yeo17_ifs
cpe_2_22,-0.0159340405589,21,cpe_2,pc07,yeo17_ifs
cpe_2_23,-0.00682790145769,22,cpe_2,pc07,yeo17_ifs
cpe_1_00,0.0184138807627,-1,cpe_1,pc07,yeo17_ifs
cpe_1_01,0.016520622382,0,cpe_1,pc07,yeo17_ifs
cpe_1_02,0.0255626199897,1,cpe_1,pc07,yeo17_ifs
cpe_1_03,0.0691841351231,2,cpe_1,pc07,yeo17_ifs
cpe_1_04,0.12184464736,3,cpe_1,pc07,yeo17_ifs
cpe_1_05,0.136974436735,4,cpe_1,pc07,yeo17_ifs
cpe_1_06,0.116708916597,5,cpe_1,pc07,yeo17_ifs
