,param,subj,roi,bold,hemi,region,network
0,cpe,pc07,lh.yeo17_ifs,19.56562042236328,lh,ifs,lat
1,cpe,pc07,rh.yeo17_ifs,6.821564197540283,rh,ifs,lat
2,cpe,pc07,lh.yeo17_ips,35.03707504272461,lh,ips,lat
3,cpe,pc07,rh.yeo17_ips,24.173669815063477,rh,ips,lat
4,cpe,pc07,lh.yeo17_mspl,15.97195816040039,lh,mspl,med
5,cpe,pc07,rh.yeo17_mspl,11.416557312011719,rh,mspl,med
6,cpe,pc07,lh.yeo17_pcc,15.183085441589355,lh,pcc,med
7,cpe,pc07,rh.yeo17_pcc,5.415470600128174,rh,pcc,med
8,cpe,pc08,lh.yeo17_ifs,-2.395602226257324,lh,ifs,lat
9,cpe,pc08,rh.yeo17_ifs,4.294793605804443,rh,ifs,lat
10,cpe,pc08,lh.yeo17_ips,-0.7649014592170715,lh,ips,lat
11,cpe,pc08,rh.yeo17_ips,17.398805618286133,rh,ips,lat
12,cpe,pc08,lh.yeo17_mspl,2.595641613006592,lh,mspl,med
13,cpe,pc08,rh.yeo17_mspl,1.1454882621765137,rh,mspl,med
14,cpe,pc08,lh.yeo17_pcc,4.575937271118164,lh,pcc,med
15,cpe,pc08,rh.yeo17_pcc,8.205662727355957,rh,pcc,med
16,cpe,pc10,lh.yeo17_ifs,2.6123898029327393,lh,ifs,lat
17,cpe,pc10,rh.yeo17_ifs,0.4028613567352295,rh,ifs,lat
18,cpe,pc10,lh.yeo17_ips,-1.995933175086975,lh,ips,lat
19,cpe,pc10,rh.yeo17_ips,-16.339950561523438,rh,ips,lat
20,cpe,pc10,lh.yeo17_mspl,7.612406253814697,lh,mspl,med
21,cpe,pc10,rh.yeo17_mspl,3.853707790374756,rh,mspl,med
22,cpe,pc10,lh.yeo17_pcc,1.713266372680664,lh,pcc,med
23,cpe,pc10,rh.yeo17_pcc,-5.316864490509033,rh,pcc,med
24,cpe,pc11,lh.yeo17_ifs,32.78398513793945,lh,ifs,lat
25,cpe,pc11,rh.yeo17_ifs,13.688773155212402,rh,ifs,lat
26,cpe,pc11,lh.yeo17_ips,44.75006103515625,lh,ips,lat
27,cpe,pc11,rh.yeo17_ips,21.165502548217773,rh,ips,lat
28,cpe,pc11,lh.yeo17_mspl,30.392616271972656,lh,mspl,med
29,cpe,pc11,rh.yeo17_mspl,17.66762924194336,rh,mspl,med
30,cpe,pc11,lh.yeo17_pcc,8.046127319335938,lh,pcc,med
31,cpe,pc11,rh.yeo17_pcc,0.11066804826259613,rh,pcc,med
32,cpe,pc12,lh.yeo17_ifs,22.72759437561035,lh,ifs,lat
33,cpe,pc12,rh.yeo17_ifs,15.551095008850098,rh,ifs,lat
34,cpe,pc12,lh.yeo17_ips,15.29824447631836,lh,ips,lat
35,cpe,pc12,rh.yeo17_ips,12.105103492736816,rh,ips,lat
36,cpe,pc12,lh.yeo17_mspl,24.408626556396484,lh,mspl,med
37,cpe,pc12,rh.yeo17_mspl,8.331998825073242,rh,mspl,med
