condition,timepoint,subj,bold,roi
cue,-1,pc07,-0.00023911470964080002,IFS
cue,-1,pc08,-0.030171353757542766,IFS
cue,-1,pc10,0.0010704804391716235,IFS
cue,-1,pc11,0.01952013687516847,IFS
cue,-1,pc12,-0.005393338897023405,IFS
cue,-1,pc13,-0.03710903118544373,IFS
cue,-1,pc14,-0.02369617852911061,IFS
cue,-1,pc15,0.0188819580948089,IFS
cue,-1,pc16,-0.038213289458804624,IFS
cue,-1,pc17,0.020540372270259403,IFS
cue,-1,pc18,-0.01752703953848913,IFS
cue,-1,pc19,-5.857611330716342e-05,IFS
cue,-1,pc22,-0.04473051398175477,IFS
cue,-1,pc23,0.016222795002205425,IFS
cue,-1,pc24,-0.010171484413670146,IFS
cue,0,pc07,0.007766111820294115,IFS
cue,0,pc08,-0.04093710269599051,IFS
cue,0,pc10,0.003825421821481728,IFS
cue,0,pc11,0.00780174578613651,IFS
cue,0,pc12,-0.0005462399817011752,IFS
cue,0,pc13,-0.03911648849652425,IFS
cue,0,pc14,-0.027032713030412932,IFS
cue,0,pc15,0.018652538309770036,IFS
cue,0,pc16,-0.043021496865115014,IFS
cue,0,pc17,0.01041697998583335,IFS
cue,0,pc18,-0.008116913184579355,IFS
cue,0,pc19,-0.012411992748098052,IFS
cue,0,pc22,-0.0500327450639072,IFS
cue,0,pc23,0.005239049052043434,IFS
cue,0,pc24,-0.012576006559641532,IFS
cue,1,pc07,0.016439798405268276,IFS
cue,1,pc08,-0.04558046993509868,IFS
cue,1,pc10,0.003003799141184418,IFS
cue,1,pc11,-0.010528293727057665,IFS
cue,1,pc12,0.0006530618550574904,IFS
cue,1,pc13,-0.03167385198574155,IFS
cue,1,pc14,-0.018492885156200553,IFS
cue,1,pc15,0.014063397783811509,IFS
cue,1,pc16,-0.045231826660171164,IFS
cue,1,pc17,-0.004701933189584938,IFS
cue,1,pc18,0.005341885640436454,IFS
cue,1,pc19,-0.022527165043684044,IFS
cue,1,pc22,-0.05881368166003859,IFS
cue,1,pc23,-0.007171380168313212,IFS
cue,1,pc24,-0.010346102319982975,IFS
cue,2,pc07,0.024296002465358166,IFS
cue,2,pc08,-0.027065890167102508,IFS
cue,2,pc10,-0.004235667207561681,IFS
cue,2,pc11,-0.00904849028299324,IFS
cue,2,pc12,0.002452836212980541,IFS
cue,2,pc13,0.018849762983807142,IFS
cue,2,pc14,0.002120521471724972,IFS
cue,2,pc15,0.009210766787494539,IFS
cue,2,pc16,-0.04301368271242205,IFS
cue,2,pc17,-0.012496234748199298,IFS
cue,2,pc18,0.02796441979689379,IFS
cue,2,pc19,-0.01987666619170738,IFS
cue,2,pc22,-0.056768090243366605,IFS
cue,2,pc23,-0.007507127919604663,IFS
cue,2,pc24,0.00439599259063621,IFS
cue,3,pc07,0.04785878884216772,IFS
cue,3,pc08,0.03774995191656563,IFS
cue,3,pc10,-0.014028739906315885,IFS
cue,3,pc11,0.009914791920056372,IFS
cue,3,pc12,0.01994649369767813,IFS
cue,3,pc13,0.11851503794951118,IFS
cue,3,pc14,0.025692650575572906,IFS
cue,3,pc15,0.008900786021489854,IFS
cue,3,pc16,-0.03968557160005226,IFS
cue,3,pc17,-0.004987169077267163,IFS
cue,3,pc18,0.0485983896956482,IFS
cue,3,pc19,-0.012392697579542727,IFS
cue,3,pc22,-0.0368399595269119,IFS
cue,3,pc23,-0.0021589349875847813,IFS
cue,3,pc24,0.03413513529694076,IFS
cue,4,pc07,0.06977520641172485,IFS
cue,4,pc08,0.11254510227204699,IFS
cue,4,pc10,-0.018779106266719366,IFS
cue,4,pc11,0.01321185529593993,IFS
cue,4,pc12,0.053442922829374614,IFS
cue,4,pc13,0.20417063097360894,IFS
cue,4,pc14,0.040826218408196197,IFS
cue,4,pc15,0.00240728427487556,IFS
cue,4,pc16,-0.03081800829865253,IFS
cue,4,pc17,0.00784968399311266,IFS
cue,4,pc18,0.054909219522914055,IFS
cue,4,pc19,-0.004132664289599527,IFS
cue,4,pc22,-0.0045332168789167255,IFS
cue,4,pc23,-0.0004570910724182442,IFS
cue,4,pc24,0.058704069645631844,IFS
cue,5,pc07,0.06708639987119225,IFS
cue,5,pc08,0.12859237973591656,IFS
cue,5,pc10,-0.013817269140585748,IFS
cue,5,pc11,-0.013418023288630964,IFS
cue,5,pc12,0.08044685792468995,IFS
cue,5,pc13,0.18852124247145027,IFS
cue,5,pc14,0.03582976889608364,IFS
cue,5,pc15,-0.00772610588990975,IFS
cue,5,pc16,-0.01794564879352623,IFS
cue,5,pc17,0.0182597693006526,IFS
cue,5,pc18,0.04704756486204552,IFS
cue,5,pc19,-0.00896435593860815,IFS
cue,5,pc22,0.015301035309489537,IFS
cue,5,pc23,-0.006805444719781388,IFS
cue,5,pc24,0.056731471494491204,IFS
cue,6,pc07,0.050775750646048626,IFS
cue,6,pc08,0.058831446676432406,IFS
cue,6,pc10,-0.005696776102951617,IFS
cue,6,pc11,-0.05440523344840471,IFS
cue,6,pc12,0.07390157795253433,IFS
cue,6,pc13,0.06348670928545791,IFS
cue,6,pc14,0.012550962052679507,IFS
cue,6,pc15,-0.02145954997045695,IFS
cue,6,pc16,-0.0033071675645237678,IFS
cue,6,pc17,0.022374201699881774,IFS
cue,6,pc18,0.02686356050659923,IFS
cue,6,pc19,-0.02748080397405226,IFS
cue,6,pc22,0.005734080696187659,IFS
cue,6,pc23,-0.008854670676352374,IFS
cue,6,pc24,0.022420434875777037,IFS
cue,7,pc07,0.03459721894779033,IFS
cue,7,pc08,-0.05382519402335395,IFS
cue,7,pc10,-0.0016517514450370965,IFS
cue,7,pc11,-0.07836322027945683,IFS
cue,7,pc12,0.02666824475524073,IFS
cue,7,pc13,-0.08678567442356774,IFS
cue,7,pc14,-0.01439955507598524,IFS
cue,7,pc15,-0.042295381926525696,IFS
cue,7,pc16,0.008843981048027572,IFS
cue,7,pc17,0.019027522028234434,IFS
cue,7,pc18,0.0036425919011017042,IFS
cue,7,pc19,-0.04708364861169187,IFS
cue,7,pc22,-0.025366709818221804,IFS
cue,7,pc23,-0.0049391061362066046,IFS
cue,7,pc24,-0.02913029978105526,IFS
cue,8,pc07,0.01816542085136559,IFS
