subj,roi,param,cope,cope_within
pc07,yeo17_fpn,cpe,7.51144456863,8.62661361694
pc07,yeo17_fpn,error,9.81316280365,0.537181854248
pc07,yeo17_fpn,response_time,14.7541389465,22.8755054474
pc07,yeo17_con,cpe,-0.336168110371,0.779000759125
pc07,yeo17_con,error,39.1163597107,29.840379715
pc07,yeo17_con,response_time,9.87447738647,17.9958438873
pc07,yeo17_dan,cpe,3.63571882248,4.75088787079
pc07,yeo17_dan,error,39.5454292297,30.269449234
pc07,yeo17_dan,response_time,9.38048839569,17.5018539429
pc08,yeo17_fpn,cpe,-0.502927422523,8.68581676483
pc08,yeo17_fpn,error,46.522354126,30.1887283325
pc08,yeo17_fpn,response_time,34.3171653748,26.4435958862
pc08,yeo17_con,cpe,-4.57752513885,4.61121892929
pc08,yeo17_con,error,33.8527069092,17.5190811157
pc08,yeo17_con,response_time,22.1028900146,14.2293205261
pc08,yeo17_dan,cpe,-8.32927894592,0.859465122223
pc08,yeo17_dan,error,29.2728290558,12.9392032623
pc08,yeo17_dan,response_time,25.5738582611,17.7002887726
pc10,yeo17_fpn,cpe,0.706152737141,4.99191141129
pc10,yeo17_fpn,error,-18.9735126495,14.0631856918
pc10,yeo17_fpn,response_time,8.88631916046,22.1196098328
pc10,yeo17_con,cpe,0.809825062752,5.09558391571
pc10,yeo17_con,error,-9.98480606079,23.0518913269
pc10,yeo17_con,response_time,5.52908992767,18.7623806
pc10,yeo17_dan,cpe,-0.216752111912,4.06900644302
pc10,yeo17_dan,error,-9.50476074219,23.5319366455
pc10,yeo17_dan,response_time,4.25792503357,17.4912147522
pc11,yeo17_fpn,cpe,10.9374771118,10.408946991
pc11,yeo17_fpn,error,54.9130172729,34.6900520325
pc11,yeo17_fpn,response_time,29.8847446442,24.4880580902
pc11,yeo17_con,cpe,3.11177372932,2.58324408531
pc11,yeo17_con,error,49.9225921631,29.6996269226
pc11,yeo17_con,response_time,28.3366107941,22.9399242401
pc11,yeo17_dan,cpe,1.69284057617,1.16431093216
pc11,yeo17_dan,error,16.4803028107,-3.74266242981
pc11,yeo17_dan,response_time,16.3419113159,10.945224762
pc12,yeo17_fpn,cpe,7.62047958374,6.21450281143
pc12,yeo17_fpn,error,-3.59672188759,9.88640785217
pc12,yeo17_fpn,response_time,7.97430896759,20.5573291779
pc12,yeo17_con,cpe,8.93312358856,7.52714681625
pc12,yeo17_con,error,18.5386714935,32.0218009949
pc12,yeo17_con,response_time,13.0918006897,25.6748199463
pc12,yeo17_dan,cpe,1.82082819939,0.41485118866
pc12,yeo17_dan,error,5.25567340851,18.7388038635
pc12,yeo17_dan,response_time,-0.44196382165,12.1410560608
pc13,yeo17_fpn,cpe,3.77393317223,5.20430088043
pc13,yeo17_fpn,error,21.9648418427,17.7132987976
pc13,yeo17_fpn,response_time,58.7217521667,38.3474197388
pc13,yeo17_con,cpe,1.43465065956,2.86501812935
pc13,yeo17_con,error,47.0195426941,42.7679977417
pc13,yeo17_con,response_time,20.100730896,-0.273599624634
pc13,yeo17_dan,cpe,4.65681552887,6.08718299866
pc13,yeo17_dan,error,4.41725587845,0.165712356567
pc13,yeo17_dan,response_time,40.6737174988,20.2993869781
pc14,yeo17_fpn,cpe,6.59878826141,8.85801887512
pc14,yeo17_fpn,error,20.6191978455,27.2582550049
pc14,yeo17_fpn,response_time,15.0339221954,19.9998397827
