trial_type,context,early,stim,cue,motion,color,context_freq,cue_dur,trial_dur,color_freq,context_entropy,congruent,target,block,run,run_trial,iti,cue_time,condition_trial,color_switch,context_switch,frame_switch,motion_switch
early,0,True,True,1,1.0,1.0,0.5,1.0,3.0,0.5,0.69314718055994529,True,1.0,0,1,0,7.0,7.0,0,False,0.0,0.0,False
early,1,True,True,0,1.0,0.0,0.5,1.0,3.0,0.5,0.69314718055994529,False,0.0,0,1,1,7.0,17.0,1,True,1.0,1.0,False
early,0,True,True,1,1.0,1.0,0.5,1.0,3.0,0.5,0.69314718055994529,True,1.0,0,1,2,3.0,23.0,2,True,1.0,1.0,False
early,1,True,True,0,1.0,0.0,0.5,1.0,3.0,0.5,0.69314718055994529,False,0.0,0,1,3,2.0,28.0,3,True,1.0,1.0,False
catch,1,True,False,1,,,0.5,1.0,1.0,0.5,0.69314718055994529,False,,0,1,4,3.0,34.0,4,False,0.0,1.0,False
later,1,False,True,1,1.0,0.0,0.5,,2.0,0.5,0.69314718055994529,False,0.0,0,1,5,2.0,37.0,5,False,0.0,0.0,False
catch,1,True,False,0,,,0.5,1.0,1.0,0.5,0.69314718055994529,False,,0,1,6,2.0,41.0,6,False,0.0,1.0,False
catch,0,True,False,1,,,0.5,1.0,1.0,0.5,0.69314718055994529,False,,0,1,7,3.0,45.0,7,False,1.0,1.0,False
catch,1,True,False,1,,,0.5,1.0,1.0,0.5,0.69314718055994529,False,,0,1,8,3.0,49.0,8,False,1.0,1.0,False
later,0,False,True,0,1.0,1.0,0.5,,2.0,0.5,0.69314718055994529,True,1.0,0,1,9,4.0,54.0,9,True,1.0,1.0,False
catch,1,True,False,1,,,0.5,1.0,1.0,0.5,0.69314718055994529,False,,0,1,10,3.0,59.0,10,False,1.0,1.0,False
catch,1,True,False,0,,,0.5,1.0,1.0,0.5,0.69314718055994529,False,,0,1,11,7.0,67.0,11,False,0.0,1.0,False
catch,1,True,False,1,,,0.5,1.0,1.0,0.5,0.69314718055994529,False,,0,1,12,2.0,70.0,12,False,0.0,1.0,False
catch,1,True,False,0,,,0.5,1.0,1.0,0.5,0.69314718055994529,False,,0,1,13,7.0,78.0,13,False,0.0,1.0,False
later,1,False,True,1,0.0,1.0,0.5,,2.0,0.5,0.69314718055994529,False,1.0,0,1,14,4.0,83.0,14,False,0.0,1.0,True
early,0,True,True,0,1.0,1.0,0.5,1.0,3.0,0.5,0.69314718055994529,True,1.0,0,1,15,5.0,90.0,15,False,1.0,1.0,True
later,0,False,True,1,0.0,0.0,0.5,,2.0,0.5,0.69314718055994529,True,0.0,0,1,16,4.0,97.0,16,True,0.0,1.0,True
later,0,False,True,0,1.0,1.0,0.5,,2.0,0.5,0.69314718055994529,True,1.0,0,1,17,2.0,101.0,17,True,0.0,1.0,True
catch,0,True,False,1,,,0.5,1.0,1.0,0.5,0.69314718055994529,False,,0,1,18,5.0,108.0,18,False,0.0,1.0,False
early,1,True,True,1,1.0,1.0,0.5,1.0,3.0,0.5,0.69314718055994529,True,1.0,0,1,19,8.0,117.0,19,False,1.0,1.0,False
later,1,False,True,0,0.0,0.0,0.5,,2.0,0.5,0.69314718055994529,True,0.0,0,1,20,7.0,127.0,20,True,0.0,1.0,True
later,0,False,True,0,0.0,1.0,0.5,,2.0,0.5,0.69314718055994529,False,0.0,0,1,21,2.0,131.0,21,True,1.0,1.0,False
early,1,True,True,0,0.0,0.0,0.5,1.0,3.0,0.5,0.69314718055994529,True,0.0,0,1,22,5.0,138.0,22,True,1.0,1.0,False
catch,0,True,False,1,,,0.5,1.0,1.0,0.5,0.69314718055994529,False,,0,1,23,3.0,144.0,23,False,1.0,1.0,False
